Temperature [°C];Reaction Time [min];CaO [w%];CaCl2 [w%];PSD [µm];Conversion [%]
107.1127360402414;163.2431056250521;1.8253202181270887;0.05633395804800692;64.72;0.29445518446106766
102.8122794351714;54.0767361988398;1.222121211040455;0.31272569018957685;64.72;0.2213617915025456
167.1901565937721;40.6657120697186;0.30302888507669756;0.33728151805665685;64.72;0.3137812091805958
135.7194290512448;138.3738624444177;0.23441857147442643;0.4376715202191307;64.72;0.3722101810379453
194.5230323668147;111.2720515927708;0.8762108799623378;0.2506138902904923;64.72;0.36434044861332066
128.582132653504;89.23848009746386;0.5603175610852145;0.39144878541050965;64.72;0.2438278889139371
128.736355765927;49.172140581473;0.36020414641192355;0.23689151589418295;64.72;0.25159525217468276
106.067122606195;94.2180096429315;0.5960520994197306;0.30911453903265335;64.72;0.19421676193276308
169.812426458426;38.1604318552561;1.4022232842464166;0.4217824551286672;64.72;0.3069826849144274
186.477779091378;159.255617719098;1.197821724972984;0.39361547610466374;64.72;0.3691954463012864
143.331833944296;176.518332917919;0.8147474740269699;0.3011700064874216;64.72;0.4772058294214452
114.721960549088;142.571652074351;1.6880995909225465;0.187343228598409;64.72;0.29101211422995993
159.020808871413;74.0563402917433;1.8367552703941339;0.07438971383262452;64.72;0.39733068658800663
153.331684645093;127.286302693986;0.9462505750979897;0.04044489295754343;64.72;0.4121964715710536
194.658350012081;104.792185718259;0.11720928573721322;0.141557125351402;64.72;0.42688351557092946
